Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
103,-2.265390428,60.31246534,-19.79923254,67.66696398,2.515541063,-4.256664437,2.667090388,0.8716826987,-5.359599038,0.4183907214,477.7792969,420.625,898.4042969,-1.9044109999999392,2.5678795999999893,15.85674000000381
104,-2.26091006,60.34922747,-19.77283617,67.68282073,2.512860799,-4.265962853,2.665185977,0.8743486576,-5.364984556,0.4209586009,477.7792969,420.3222656,898.1015625,-1.9044109999999392,2.567879499999981,15.856749999997533
105,-2.256429693,60.3859896,-19.74643979,67.69867747,2.510180534,-4.275261269,2.663281566,0.8770146165,-5.370370074,0.4235264805,478.1269531,420.03125,898.1582031,-1.9044109999999392,2.567879600000045,15.85674000000381
106,-2.251718119,60.41985598,-19.7228014,67.7117351,2.507215639,-4.284645462,2.661150901,0.8796744875,-5.37588519,0.4260981476,478.4453125,420.03125,898.4765625,-2.1306650000001426,2.5716670999999525,13.057629999991605
107,-2.247006544,60.45372236,-19.69916302,67.72479273,2.504250744,-4.294029654,2.659020236,0.8823343584,-5.381400307,0.4286698146,479.0664063,419.28125,898.3476563,-2.1306650000001426,2.5716669999999997,13.057630000005815
108,-2.24229497,60.48758874,-19.67552463,67.73785036,2.501285849,-4.303413847,2.656889571,0.8849942293,-5.386915424,0.4312414817,479.0664063,419.2734375,898.3398438,-2.1306650000001426,2.571667100000008,13.057629999991605
109,-2.237583396,60.52145511,-19.65188625,67.75090799,2.498320955,-4.31279804,2.654758906,0.8876541003,-5.392430541,0.4338131488,479.0527344,419.2734375,898.3261719,-2.1306649999996985,2.571667100000008,13.057630000005815
110,-2.232871821,60.55532149,-19.62824786,67.76396562,2.49535606,-4.322182233,2.652628241,0.8903139712,-5.397945657,0.4363848159,479.375,418.3554688,897.7304688,-2.1306650000001426,2.571667100000008,13.057629999991605
111,-2.227912992,60.58580452,-19.60758414,67.77427131,2.492104981,-4.331615956,2.650245029,0.8929434261,-5.403570536,0.4389498725,480.0507813,418.0507813,898.1015625,-2.3832119999998014,2.565056600000004,10.305690000009804
112,-2.222954163,60.61628756,-19.58692043,67.78457701,2.488853903,-4.341049679,2.647861816,0.8955728811,-5.409195414,0.4415149292,480.359375,417.6171875,897.9765625,-2.383213000000328,2.5650567000000124,10.305700000003526
113,-2.217995334,60.64677059,-19.56625671,67.7948827,2.485602825,-4.350483402,2.645478603,0.898202336,-5.414820293,0.4440799859,480.3300781,417.3164063,897.6464844,-2.383212999999884,2.565056699999957,10.305689999995593
114,-2.213036504,60.67725362,-19.545593,67.80518839,2.482351747,-4.359917125,2.64309539,0.9008317909,-5.420445171,0.4466450426,480.6503906,417.0078125,897.6582031,-2.383212999999884,2.5650567000000124,10.305689999995593
115,-2.208077675,60.70773665,-19.52492928,67.81549409,2.479100669,-4.369350847,2.640712177,0.9034612458,-5.42607005,0.4492100992,480.6503906,416.2734375,896.9238281,-2.383212999999884,2.565056600000004,10.305700000003526
116,-2.202864623,60.73439693,-19.50740445,67.82320068,2.475572287,-4.378800899,2.638056866,0.9060365249,-5.431785429,0.4517558262,481.3183594,415.6640625,896.9824219,-2.655311000000271,2.5457269999999976,7.706589999997959
