Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
63,0.1320154016,54.58832686,-26.68357736,62.98550567,0.4458564383,-6.223358744,-0.02513835068,-0.2586301209,-7.625745257,0.1005691822,504.0898438,387.8027344,891.8925781,2.5466785799999996,-0.7329202000000007,-5.016599999997595,-431.43940000004477
64,0.1286601962,54.57675843,-26.70068215,62.98048906,0.4433317689,-6.229226693,-0.0225916721,-0.2557292195,-7.630561487,0.099836262,503.7949219,387.8027344,891.5976563,2.5466785799999996,-0.7329202000000007,-5.016610000005528,13.727700000004006
65,0.1253049908,54.56518999,-26.71778695,62.97547246,0.4408070996,-6.235094642,-0.02004499352,-0.2528283181,-7.635377717,0.09910334181,504.1035156,387.8027344,891.90625,2.546678580000003,-0.7329201899999999,-5.016599999997595,-120.87029999997867
66,0.1219497854,54.55362155,-26.73489175,62.97045585,0.4382824303,-6.240962591,-0.01749831494,-0.2499274167,-7.640193947,0.09837042163,504.4003906,387.4902344,891.890625,2.5466785799999996,-0.732920179999999,-5.016609999998423,561.8196000000353
67,0.1184038238,54.54285064,-26.75148086,62.96561402,0.4357372949,-6.246910792,-0.01483442238,-0.2470383406,-7.645175226,0.09756276682,504.4140625,387.4902344,891.9042969,2.663892559999999,-0.8076548100000025,-4.841830000003711,79.5816999999488
68,0.1148578622,54.53207973,-26.76806996,62.9607722,0.4331921596,-6.252858994,-0.01217052982,-0.2441492646,-7.650156505,0.09675511201,505.0683594,387.0585938,892.1269531,2.6638925600000003,-0.8076548099999886,-4.841819999995778,-169.62100000000646
69,0.1113119006,54.52130881,-26.78465906,62.95593037,0.4306470243,-6.258807195,-0.009506637265,-0.2412601885,-7.655137784,0.09594745721,505.3789063,386.8828125,892.2617188,2.663892555,-0.8076548000000017,-4.841830000003711,564.131800000041
70,0.107765939,54.5105379,-26.80124817,62.95108854,0.428101889,-6.264755396,-0.006842744705,-0.2383711125,-7.660119063,0.0951398024,505.3789063,386.8828125,892.2617188,2.6638925599999994,-0.8076548100000025,-4.841829999996605,0.0
71,0.1042199773,54.49976699,-26.81783727,62.94624671,0.4255567537,-6.270703598,-0.004178852145,-0.2354820365,-7.665100342,0.09433214759,505.6992188,386.8671875,892.5664063,2.6638925599999994,-0.8076548100000025,-4.841830000003711,-24.97219999997924
72,0.100498427,54.48979807,-26.83389421,62.94158885,0.4229789819,-6.276712862,-0.001413551614,-0.2326033132,-7.67023627,0.0934491884,505.7128906,386.2597656,891.9726563,2.765300531,-0.8829591900000044,-4.657859999994685,414.93339999999534
73,0.09677687675,54.47982915,-26.84995114,62.93693098,0.4204012101,-6.282722126,0.001351748917,-0.2297245899,-7.675372198,0.09256622921,505.6992188,385.8222656,891.5214844,2.765300531,-0.8829591899999906,-4.657870000002617,-146.37470000002395
74,0.09305532647,54.46986023,-26.86600808,62.93227311,0.4178234383,-6.28873139,0.004117049448,-0.2268458666,-7.680508126,0.09168327002,506.0722656,385.8222656,891.8945313,2.765300531,-0.8829591900000044,-4.657870000002617,-51.842500000020664
75,0.08933377618,54.45989131,-26.88206501,62.92761525,0.4152456665,-6.294740654,0.006882349979,-0.2239671434,-7.685644054,0.09080031083,506.0253906,385.5097656,891.5351563,2.765300531,-0.8829591900000044,-4.657859999994685,91.9255000000021
76,0.08561222589,54.44992239,-26.89812195,62.92295738,0.4126678948,-6.300749918,0.00964765051,-0.2210884201,-7.690779982,0.08991735164,505.984375,385.2070313,891.1914063,2.765300530999999,-0.8829591899999906,-4.657870000002617,-113.48450000002686
77,0.08173445048,54.44075481,-26.91363485,62.91848853,0.4100456508,-6.306802208,0.01249656165,-0.2182177679,-7.69605445,0.08896077527,506.3378906,385.5078125,891.8457031,2.8489111400000002,-0.9565763700000035,-4.468850000002078,400.99880000002486
78,0.07785667508,54.43158722,-26.92914775,62.91401967,0.4074234069,-6.312854499,0.01534547279,-0.2153471157,-7.701328917,0.08800419889,506.3378906,385.203125,891.5410156,2.8489111400000002,-0.9565763800000043,-4.4688599999958,166.19809999997415
79,0.07397889967,54.42241963,-26.94466065,62.90955081,0.404801163,-6.318906789,0.01819438393,-0.2124764635,-7.706603385,0.08704762252,506.3652344,384.9003906,891.265625,2.8489111399999985,-0.9565763699999896,-4.4688600000029055,42.24650000003294
80,0.07010112427,54.41325204,-26.96017355,62.90508196,0.4021789191,-6.324959079,0.02104329506,-0.2096058113,-7.711877853,0.08609104615,506.6738281,384.9003906,891.5742188,2.848911130000003,-0.9565763700000035,-4.468850000002078,368.1848999999602
