Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
1758,31.14192937,115.3964137,26.74351142,10.69841328,22.85515318,11.17840701,-14.21329032,-8.454165459,-12.02337273,13.12993156,679.9628906,77.0234375,756.9863281,185.62518999999966,13.175040000000138,294.4459300000002,-723.1199999998807
1759,30.95278532,115.1731336,26.54534121,10.99285922,22.8039037,11.07356586,-14.02766514,-8.439518909,-12.02767916,13.14310661,679.9628906,76.7265625,756.6894531,185.6251800000006,13.175050000000965,294.4459399999992,846.3919999999234
1760,30.76364127,114.9498535,26.34717101,11.28730515,22.75265421,10.9687247,-13.84203995,-8.424872358,-12.03198558,13.15628165,679.0058594,77.16015625,756.1660156,185.62518999999966,13.175040000000138,294.4459300000002,-1198.8440000000082
1761,30.57449722,114.7265735,26.1490008,11.58175108,22.70140473,10.86388354,-13.65641477,-8.410225808,-12.03629201,13.1694567,678.015625,77.02539063,755.0410156,185.6251800000006,13.175049999999189,294.4459300000002,451.966000000084
1762,30.38535317,114.5032934,25.9508306,11.87619701,22.65015524,10.75904238,-13.47078959,-8.395579257,-12.04059844,13.18263174,677.046875,77.45898438,754.5058594,185.62517999999884,13.175040000000138,294.4459300000002,-935.073999999986
1763,30.20179711,114.2819322,25.74383096,12.17169696,22.60159934,10.65859449,-13.30275452,-8.37808276,-12.04295604,13.18417903,676.4316406,77.1484375,753.5800781,168.03507000000016,1.5472899999995349,295.49994999999996,690.3279999999086
1764,30.01824105,114.060571,25.53683132,12.46719691,22.55304343,10.5581466,-13.13471946,-8.360586263,-12.04531365,13.18572631,675.1757813,76.40625,751.5820313,168.03506000000112,1.5472800000004838,295.49994999999996,1641.8690000000424
1765,29.83468498,113.8392098,25.32983168,12.76269685,22.50448752,10.4576987,-12.96668439,-8.343089766,-12.04767125,13.18727359,674.546875,76.70898438,751.2558594,168.03507000000016,1.5472800000004838,295.4999399999991,-290.7279999999446
1766,29.65112892,113.6178486,25.12283204,13.0581968,22.45593161,10.35725081,-12.79864933,-8.325593269,-12.05002886,13.18882088,673.5878906,77.14648438,750.734375,168.03505999999933,1.5472899999995349,295.49994999999996,-1516.493999999966
1767,29.46757285,113.3964874,24.9158324,13.35369674,22.4073757,10.25680292,-12.63061427,-8.308096772,-12.05238646,13.19036816,672.296875,76.5390625,748.8359375,168.03505999999933,1.5472800000004838,295.4999400000009,1362.2539999998935
1768,29.2902553,113.1767192,24.69973319,13.64253042,22.36212689,10.16006195,-12.48023894,-8.288434508,-12.05293367,13.18051756,671.9765625,76.234375,748.2109375,150.37533000000101,-9.850600000000043,288.83367999999973,1040.0580000000446
