Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
942,-3.57511485,84.34032264,-7.29234385,39.2407261,4.899645493,-10.91201833,2.786841412,0.2848016343,-1.705106836,-0.8422678016,-1.0625,567.125,566.0625,3.1844059999999175,-5.443041100000046,-22.41663999999588
943,-3.576757292,84.31439118,-7.331642638,39.21830945,4.912983336,-10.91525569,2.790025817,0.3279205545,-1.710943454,-0.8477108426,-1.1015625,567.125,566.0234375,3.184405000000279,-5.443040999999926,-22.416650000003813
944,-3.578399734,84.28845972,-7.370941427,39.19589281,4.92632118,-10.91849305,2.793210223,0.3710394746,-1.716780073,-0.8531538837,-0.751953125,567.4257813,566.6738281,3.1844059999999175,-5.443041100000046,-22.416640000002985
945,-3.580042176,84.26252826,-7.410240216,39.17347616,4.939659024,-10.92173042,2.796394629,0.4141583948,-1.722616691,-0.8585969247,-1.072265625,568.0390625,566.9667969,3.1844059999999175,-5.443041000000037,-22.416649999996707
946,-3.579173529,84.2358447,-7.451152664,39.15037948,4.952918172,-10.92533455,2.799036475,0.4562119628,-1.728028278,-0.8618664031,-1.341796875,568.3515625,567.0097656,2.6418459999999477,-3.2694783999999144,-23.096680000001868
947,-3.578304883,84.20916115,-7.492065113,39.12728281,4.96617732,-10.92893869,2.801678321,0.4982655308,-1.733439865,-0.8651358815,-1.71875,568.9765625,567.2578125,2.6418459999999477,-3.2694784000000254,-23.09667000000104
948,-3.577436236,84.18247759,-7.532977562,39.10418613,4.979436468,-10.93254283,2.804320168,0.5403190988,-1.738851452,-0.8684053598,-1.71875,568.9765625,567.2578125,2.6418470000000305,-3.269478300000017,-23.096679999994763
949,-3.576567589,84.15579404,-7.573890011,39.08108946,4.992695616,-10.93614697,2.806962014,0.5823726668,-1.744263039,-0.8716748382,-2.03515625,569.28125,567.2460938,2.6418459999999477,-3.2694784000000254,-23.09667000000104
950,-3.575698942,84.12911048,-7.61480246,39.05799278,5.005954764,-10.93975111,2.80960386,0.6244262348,-1.749674626,-0.8749443165,-1.7109375,569.8945313,568.1835938,2.641846000000392,-3.269478300000017,-23.096680000001868
951,-3.572343932,84.10191877,-7.657070688,39.03416136,5.019087238,-10.94365206,2.811715267,0.6651267284,-1.754741206,-0.8760122725,-1.68359375,570.3359375,568.6523438,2.1114069999996765,-1.067955999999981,-23.83142000000049
952,-3.568988921,84.07472705,-7.699338915,39.01032995,5.032219713,-10.947553,2.813826674,0.7058272219,-1.759807786,-0.8770802285,-2.01953125,570.640625,568.6210938,2.1114070000001206,-1.067955999999981,-23.831409999999664
953,-3.565633911,84.04753534,-7.741607142,38.98649853,5.045352187,-10.95145394,2.815938082,0.7465277154,-1.764874365,-0.8781481845,-1.7265625,571.2460938,569.5195313,2.1114080000002033,-1.067955999999981,-23.83142000000049
954,-3.562278901,84.02034362,-7.783875369,38.96266711,5.058484662,-10.95535489,2.818049489,0.7872282089,-1.769940945,-0.8792161405,-1.7265625,571.2617188,569.5351563,2.1114069999996765,-1.067955999999981,-23.83142000000049
955,-3.55892389,83.9931519,-7.826143597,38.93883569,5.071617136,-10.95925583,2.820160896,0.8279287025,-1.775007525,-0.8802840965,-1.7265625,571.2617188,569.5351563,2.1114070000001206,-1.067955999999981,-23.83142000000049
956,-3.553153247,83.96570893,-7.869484675,38.91423397,5.084593975,-10.96339415,2.821756,0.8670189123,-1.779806104,-0.8791699101,-1.404296875,572.3183594,570.9140625,1.5951040000001804,1.114186399999939,-24.601719999999716
