	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d
38	38.00000	0.14800	95.08710	76.99143	31.31294	-25.09199	1.01708	-44.83510	30.33131	-9.98790	-6.64446	-10.33275	0.55284	-12.01995	-0.42674	-5.71348	15.40598	-63.69691	-56.40211	102.75922	-62.51799	-4.17967	23.49437	0.42783	0.39727	-0.00922	-0.45680	
39	39.00000	0.15200	94.91177	76.82271	31.68450	-24.98712	1.06949	-45.19643	30.41330	-9.82437	-6.60946	-10.23929	0.42391	-12.04518	-0.44425	-3.14980	35.66898	-7.99695	-45.97575	36.64470	-25.90106	5.13237	19.88203	0.42812	0.39739	0.00508	-0.37908	
40	40.00000	0.15600	95.02274	76.62846	31.03032	-24.59824	1.56726	-45.55457	30.23198	-9.57421	-6.60337	-10.18058	0.40830	-12.01966	-0.13881	0.09755	-1.64836	20.26671	-43.25515	12.34677	35.65626	9.78095	-7.49007	0.42821	0.39729	-0.05185	-0.17091	
41	41.00000	0.16000	95.07194	76.47671	30.76442	-23.94615	2.00592	-45.09040	30.12348	-9.63086	-6.53168	-10.30572	0.53965	-12.10181	-0.43182	6.00653	-53.41446	-0.05484	-13.43598	28.72265	89.88278	-3.14688	-38.50946	0.42765	0.39744	-0.14069	-0.01070	
42	42.00000	0.16400	95.01921	76.52103	29.94463	-23.23324	2.78847	-44.52680	29.71943	-9.74617	-6.62817	-10.48870	0.71743	-11.92011	-0.56641	-13.36332	-22.02476	-35.31733	-12.51904	26.44090	20.67155	-22.50533	-32.07413	0.42717	0.39732	-0.18131	0.01669	
43	43.00000	0.16800	94.79660	76.37183	29.79799	-23.23338	3.10494	-44.43749	29.93721	-10.03160	-6.71181	-10.55822	0.75136	-11.92106	-0.47944	-6.59327	-4.13385	-47.92931	-29.09979	70.96867	-48.41154	8.79697	-14.80483	0.42689	0.39742	-0.15802	-0.07265	
44	44.00000	0.17200	94.64298	76.28863	30.17966	-23.89095	3.14163	-44.59496	30.06675	-10.07431	-6.55779	-10.60355	0.70202	-11.76531	-0.53039	13.07869	-10.44423	-71.90260	-51.17254	135.26357	-59.74200	38.36053	16.44029	0.42696	0.39769	-0.07105	-0.23516	
45	45.00000	0.17600	94.23094	75.96211	30.97176	-24.58355	3.11549	-44.84455	30.37632	-10.15823	-6.40505	-10.41923	0.82911	-11.75332	-0.67317	16.26764	-20.54265	-78.44421	-63.26904	140.67754	-3.81949	45.51482	43.19474	0.42752	0.39782	0.03982	-0.31558	
46	46.00000	0.18000	94.01514	75.77268	31.45799	-24.76645	3.10441	-45.05100	30.12207	-9.71122	-6.19398	-10.24430	0.95590	-11.62484	-0.84166	22.82988	2.04805	-43.94775	-21.93265	68.15179	-7.78151	51.14131	33.63699	0.42802	0.39793	0.08058	-0.25477	
47	47.00000	0.18400	93.88701	75.78719	31.26358	-24.32035	3.39559	-44.81431	30.05129	-10.24668	-5.99593	-10.13784	1.31003	-11.74507	-0.82969	11.30276	25.24573	-36.70563	-17.82285	25.22341	-78.93477	28.16858	46.49491	0.42813	0.39803	0.04870	-0.26171	
