	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d
38	38.00000	0.14800	104.68120	74.82102	6.81111	-16.52927	25.90076	-54.56601	19.09840	16.27464	-14.80329	-8.30974	4.93576	3.67678	-1.52717	-1.83320	2.85317	-63.29081	-20.35161	63.38071	12.54363	33.57178	-3.78433	0.33215	0.38281	-0.26536	-0.55555	
39	39.00000	0.15200	104.62658	75.04295	5.22065	-16.57713	27.72231	-53.46772	18.66517	15.34039	-14.66847	-8.39114	5.11686	3.66671	-1.51987	5.29940	23.75135	38.42032	128.86418	20.45731	30.46025	27.72998	-6.03884	0.33147	0.38244	-0.42352	-0.57913	
40	40.00000	0.15600	105.01307	75.85266	2.79228	-16.34947	29.91766	-52.27985	18.33681	14.35338	-14.58483	-8.47887	4.88502	3.55487	-1.36857	2.17525	9.89789	104.29819	220.59042	14.22205	-9.45602	17.24247	0.21820	0.33085	0.38213	-0.54761	-0.52851	
41	41.00000	0.16000	105.46027	76.80234	-1.40484	-16.31467	34.19201	-49.61085	18.19817	11.59785	-14.53009	-8.46058	5.19590	3.57310	-1.44936	-12.85527	-7.20146	119.77585	214.65973	18.82080	-56.82447	5.39097	7.24595	0.33055	0.38200	-0.62821	-0.40883	
42	42.00000	0.16400	105.98160	77.56969	-4.61103	-16.13141	37.17443	-47.97060	18.25537	9.80956	-14.53714	-8.41265	5.08277	3.52348	-1.32310	-22.47390	-12.69428	67.26316	158.66417	19.42102	-48.41090	12.18042	18.26423	0.33043	0.38175	-0.69781	-0.23901	
43	43.00000	0.16800	105.99222	78.07114	-6.79916	-16.26130	39.52549	-46.09658	17.91785	7.86938	-14.42698	-8.22652	5.30162	3.72108	-1.37742	-20.69414	-40.53703	1.66139	37.64138	57.43148	-42.94408	24.79683	20.46618	0.33054	0.38154	-0.70812	-0.05403	
44	44.00000	0.17200	105.99461	77.87050	-6.87723	-15.99376	39.81116	-45.22503	18.17506	6.85753	-14.33552	-8.10845	5.14038	3.59392	-1.49090	-19.19824	-4.62356	12.83652	-85.14917	15.70478	-56.28165	30.63164	7.83999	0.33060	0.38129	-0.68875	0.03588	
45	45.00000	0.17600	106.09284	77.38929	-7.08723	-16.01463	39.92767	-45.24975	17.85947	6.61419	-14.18194	-8.00689	5.08535	3.59581	-1.26794	-12.90349	18.18136	46.60369	-145.37529	-31.67250	-129.00238	42.52723	7.71697	0.33063	0.38104	-0.76849	-0.04891	
46	46.00000	0.18000	106.37878	76.70828	-7.73078	-16.27913	40.37766	-45.50764	17.93298	6.09478	-13.99583	-7.91569	5.08584	3.73478	-1.25031	-12.08125	0.01851	68.61858	-141.67175	-69.01612	-221.14108	27.31112	-1.10968	0.33057	0.38071	-0.88657	-0.26625	
47	47.00000	0.18400	106.64885	76.25729	-9.00646	-16.51684	41.21786	-45.12590	17.96039	4.72736	-13.96331	-7.94881	5.07721	3.71604	-1.17969	-6.04704	15.66985	44.55438	-106.75830	-117.91831	-252.06161	8.61446	6.99906	0.33029	0.38022	-0.91137	-0.48915	
48	48.00000	0.18800	106.73568	75.85216	-10.19464	-16.65625	41.79732	-44.42375	18.01426	3.04750	-13.92834	-7.87790	5.06395	3.58451	-1.08270	2.39636	9.75507	-18.06742	-64.62573	-86.48495	-98.01231	-10.75783	15.72897	0.33011	0.37984	-0.61274	-0.59198	
49	49.00000	0.19200	106.51657	75.71339	-10.63789	-17.00583	42.08889	-43.69140	17.43854	2.57797	-14.05183	-7.91824	5.13212	3.69273	-1.12116	-1.24799	-3.72321	-159.99002	-68.88512	-14.42742	79.20950	-24.08278	12.65995	0.32982	0.37961	-0.14489	-0.50496	
50	50.00000	0.19600	105.47350	75.28936	-8.62589	-16.81654	40.18182	-43.40258	17.35750	2.70893	-14.12226	-7.89992	5.17575	3.56949	-1.10170	-2.02872	6.43544	-307.15323	-104.52777	11.38025	149.30196	-23.44663	14.68532	0.32969	0.37943	0.16589	-0.33359	
