	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d
38	38.00000	0.14800	81.31746	66.75179	-19.51913	-17.24565	47.42820	-28.51996	14.39652	-17.48062	1.35752	2.44636	6.36745	-2.55718	-5.72096	-28.26769	-8.85087	108.71713	98.92788	99.70201	8.60968	-21.43558	45.66136	0.48200	0.44895	-0.06461	-0.52046	
39	39.00000	0.15200	81.62963	66.98302	-19.21172	-17.31747	47.46581	-29.32676	14.53760	-16.88693	1.25960	2.69345	6.08965	-2.35383	-5.64907	-13.80969	-12.40445	92.21898	65.43623	88.06554	-8.57394	-23.08747	40.09943	0.48257	0.44887	-0.07912	-0.57290	
40	40.00000	0.15600	82.05459	67.27506	-19.98748	-17.41023	48.57978	-28.41625	14.37050	-17.64964	1.15769	2.73718	6.04648	-2.26593	-5.70931	-11.92687	-19.42359	69.08334	48.34745	141.39679	12.47316	-25.75821	34.69473	0.48261	0.44870	-0.08300	-0.52955	
41	41.00000	0.16000	82.20269	67.36813	-19.73131	-17.53736	49.09347	-28.48851	14.51456	-17.59895	1.04307	2.95943	5.97485	-2.26151	-5.70789	-5.57519	-17.14544	35.59315	15.09721	164.23808	19.58751	-15.85347	13.38424	0.48271	0.44853	-0.07233	-0.37458	
42	42.00000	0.16400	82.32834	67.39914	-19.00252	-17.77827	48.95478	-28.37383	14.47678	-17.53391	1.02876	2.86241	5.84670	-2.30005	-5.79476	27.74077	-5.52833	28.88929	1.58846	143.74329	27.79254	2.88283	-45.27173	0.48218	0.44839	-0.04461	-0.25741	
43	43.00000	0.16800	82.43461	67.37975	-18.89065	-18.08732	49.44296	-28.24977	14.34471	-17.60770	1.07327	2.62587	5.89073	-2.24837	-5.96480	21.63442	2.45042	13.70221	-46.43801	113.44333	29.53230	9.13944	-47.35604	0.48152	0.44846	-0.01830	-0.18565	
44	44.00000	0.17200	82.44952	67.03143	-19.56429	-18.20504	50.39670	-27.37295	13.97886	-18.26680	1.11271	2.50118	6.22488	-2.35425	-5.94979	13.79713	-21.35014	49.40131	-67.50026	103.41780	65.83437	10.25788	-28.93285	0.48119	0.44855	0.00311	-0.17205	
45	45.00000	0.17600	82.82204	66.83686	-19.84947	-18.44262	51.18014	-27.88896	13.83107	-17.43095	1.16960	2.38387	6.22321	-2.30006	-6.25011	1.38329	-15.17498	31.39725	-37.56457	-44.56042	-8.08918	-5.44715	10.26066	0.48112	0.44877	-0.03360	0.07620	
46	46.00000	0.18000	82.78915	66.72635	-19.61809	-17.98097	50.09100	-29.01424	14.23534	-16.73849	1.08484	2.54971	6.03214	-2.41705	-6.07941	-11.56540	21.11051	49.17044	-16.56569	-247.21925	-49.86918	-15.83558	41.90078	0.48165	0.44889	-0.05928	0.42836	
47	47.00000	0.18400	83.23207	66.70497	-21.23588	-17.93522	50.52177	-28.93563	13.95247	-16.81429	1.05395	2.68118	6.07657	-2.24122	-5.98721	-17.05545	-0.46887	105.25066	30.69453	-206.10547	-86.55149	-12.19962	30.93261	0.48196	0.44911	-0.04284	0.38286	
