	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d
38	38.00000	0.14800	93.56442	111.96461	34.97583	-22.46836	7.95620	10.68198	20.06536	-45.10577	1.94120	-54.25932	-15.28799	-1.96405	2.54660	-5.39795	-10.00545	130.48712	65.17587	20.60103	36.98581	99.65524	-27.12351	0.47396	0.33993	0.03683	-0.01039	
39	39.00000	0.15200	94.09455	112.12244	35.48491	-22.84890	7.64196	10.57249	20.20959	-44.80027	2.50530	-54.25199	-15.32078	-2.06184	2.41977	-14.55667	-18.45131	138.31172	30.96489	-9.95391	38.82911	63.41356	-7.21079	0.47462	0.34041	0.06764	-0.01113	
40	40.00000	0.15600	94.67967	112.21238	35.29594	-22.67372	7.58112	10.26833	20.32000	-44.40733	2.44582	-54.31742	-15.24980	-2.18429	2.47819	-82.67395	0.15414	134.71318	29.01311	-39.32172	44.43518	-38.61689	-23.72327	0.47529	0.34049	-0.07903	0.03610	
41	41.00000	0.16000	95.16691	112.35550	34.92365	-22.54395	7.84539	10.85644	20.32565	-44.71075	2.15054	-54.45508	-15.10124	-2.31806	3.05865	-80.28731	-10.10123	126.75800	43.45985	-48.02430	71.82796	-50.65192	-40.61011	0.47578	0.34050	-0.22824	0.07618	
42	42.00000	0.16400	95.69934	112.56007	33.75007	-21.93522	8.62579	12.14786	20.17436	-45.59591	2.00334	-54.61909	-14.83395	-2.36387	3.00596	-39.84832	-11.02059	101.63681	36.21926	-89.32458	89.68869	-1.66300	-52.33874	0.47655	0.34028	-0.30968	-0.00008	
43	43.00000	0.16800	95.98102	112.64657	32.92987	-21.52848	8.97868	12.61144	19.99576	-45.64021	2.12836	-54.85176	-14.65476	-2.36511	3.24645	-22.24401	24.76319	27.27803	10.81080	-135.97963	107.04889	43.57632	-54.13710	0.47725	0.34023	-0.35075	-0.04940	
44	44.00000	0.17200	95.92252	112.64971	34.87515	-22.06476	6.49354	9.73384	19.67460	-42.46830	2.40195	-55.06971	-15.33058	-2.32023	3.40279	24.30951	13.31380	-8.73198	6.46958	-134.51077	113.54498	62.04275	-61.00018	0.47823	0.34029	-0.28720	-0.06888	
45	45.00000	0.17600	95.90886	112.70065	35.96445	-22.36022	5.08944	8.44196	19.27053	-40.80513	2.72071	-55.33972	-15.57805	-2.17048	3.16543	30.37210	-16.48053	22.61324	-21.55286	-99.41763	92.82857	36.47548	-47.78600	0.47965	0.34023	-0.23398	-0.04655	
46	46.00000	0.18000	96.10342	112.48266	36.89011	-22.33494	3.83351	6.80410	18.83094	-38.96070	2.75406	-55.45929	-15.80966	-2.17849	3.00478	2.48314	-5.06714	44.10174	-12.38890	-64.55763	91.38335	-50.97532	-46.31806	0.48084	0.34064	-0.20929	-0.01109	
47	47.00000	0.18400	96.25377	112.59801	37.88788	-22.97154	2.79455	5.21589	18.67054	-37.02056	2.29224	-55.73927	-16.02881	-2.11748	3.13941	-11.40378	-25.56612	87.36310	31.33547	5.60608	143.75505	-98.04300	-50.27197	0.48177	0.34101	-0.18551	0.01156	
