	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d
38	38.00000	0.14800	59.91128	73.48906	20.90876	-12.49477	18.57304	1.40982	11.03240	-34.35688	0.81251	3.75266	-20.19201	-10.59177	4.48083	14.88806	21.20587	-23.74508	80.46791	-256.18967	-118.67741	-32.40680	4.11978	0.36701	0.29184	0.98570	0.44828	
39	39.00000	0.15200	59.78333	74.28956	19.02914	-11.68908	18.96638	4.19676	11.23483	-37.68848	0.80663	3.71778	-20.34628	-10.38813	4.53378	33.04498	19.99906	26.08453	153.84561	-220.78822	-145.84138	13.61085	-21.78086	0.36694	0.29165	0.90329	0.39786	
40	40.00000	0.15600	60.10453	74.71490	17.07219	-11.55164	20.56435	5.94668	11.71097	-39.97453	0.93314	3.58362	-20.31026	-10.36143	4.39217	32.92579	19.84795	40.82634	107.94710	-66.36500	-138.73552	54.53596	-37.87243	0.36692	0.29182	0.70954	0.27258	
41	41.00000	0.16000	60.10780	75.14091	17.23643	-11.62774	20.19080	6.36753	11.87487	-40.92503	1.14560	3.41661	-20.52089	-10.07807	4.44065	14.34180	12.22643	44.03151	66.18826	49.32970	-104.80940	54.84557	-42.80516	0.36698	0.29196	0.61761	0.13604	
42	42.00000	0.16400	60.45685	75.24285	17.05220	-11.86001	20.97875	7.70749	12.04884	-42.53547	1.23127	3.24433	-20.45737	-10.08151	4.38053	0.81076	0.45603	80.76909	27.17757	142.68527	-77.34253	2.63961	-37.41722	0.36696	0.29198	0.59885	0.07296	
43	43.00000	0.16800	60.75395	75.35861	17.75311	-12.07249	20.82714	8.61324	12.21697	-43.73986	1.07828	3.12266	-20.46239	-10.09848	4.44908	-2.24615	23.19627	44.89935	15.47602	142.35744	-59.53804	-47.15221	-36.46584	0.36699	0.29174	0.54277	0.09903	
44	44.00000	0.17200	60.81618	75.37064	20.94487	-12.62177	18.31251	7.32167	12.25384	-42.63507	0.86836	2.95581	-20.75968	-10.20329	4.58981	-7.87537	-11.88858	37.08709	-48.61635	84.80518	54.10703	-89.32904	-7.05285	0.36711	0.29156	0.32527	0.22498	
45	45.00000	0.17600	61.05659	75.00011	19.94617	-12.54906	19.36282	8.06719	12.05840	-42.77323	0.46222	3.06493	-20.50101	-10.38774	4.42178	-13.07642	-41.90987	43.74010	-125.12953	10.31117	159.69362	-71.63531	11.12032	0.36716	0.29093	0.04202	0.34339	
46	46.00000	0.18000	61.16533	74.38724	21.50442	-12.59338	17.84874	5.36102	11.86387	-39.43971	0.41309	3.03786	-20.67889	-10.71207	4.37044	-10.40198	-7.34273	-12.50510	-138.66353	-73.07419	164.47784	17.72459	-5.20175	0.36706	0.29087	-0.17340	0.36928	
47	47.00000	0.18400	60.95712	73.91349	19.44937	-12.33671	19.26307	5.45462	11.22017	-38.89931	0.66675	3.01294	-20.39531	-10.49200	4.50065	-7.10322	21.76708	-57.23854	-145.18520	-154.01721	66.65720	35.24090	-22.56111	0.36664	0.29109	-0.22987	0.30944	
48	48.00000	0.18800	60.70895	73.19324	21.46770	-11.96976	16.65171	-0.69957	11.33321	-32.96372	0.69364	2.84958	-20.78146	-10.70422	4.68341	-1.43640	51.37732	-104.46192	-77.88580	-105.48534	81.30931	65.87679	11.71012	0.36613	0.29139	-0.20540	0.26587	
