	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d
39	39.00000	0.15200	78.22963	67.99559	-2.88026	-16.94436	39.59072	-19.22358	17.30137	-30.41358	1.06823	-0.33186	8.52974	-7.23335	-4.31180	-9.45745	2.10548	-119.38780	-17.12440	-54.21775	-24.77122	4.18481	-38.24833	0.42454	0.39571	-0.09335	0.08161	
40	40.00000	0.15600	77.72382	67.93917	-2.30024	-16.63680	38.65603	-19.69039	17.43984	-30.20434	1.08106	-0.48742	8.52835	-7.21597	-4.24972	-28.28795	-14.56149	-46.50315	-36.19394	-96.03513	-12.75517	4.07328	-30.87863	0.42439	0.39568	-0.01315	0.07395	
41	41.00000	0.16000	77.85850	67.70557	-2.91412	-16.73733	38.85554	-19.89895	17.16961	-29.87129	1.10100	-0.58829	8.55262	-7.15412	-4.20522	-33.67712	-40.25875	29.23240	-22.74763	-99.02356	20.93592	6.53218	-15.23586	0.42438	0.39582	0.05120	0.00544	
42	42.00000	0.16400	77.95844	67.75716	-4.05774	-16.67091	39.54676	-19.64878	17.31501	-30.07673	1.13334	-0.62576	8.59552	-7.05913	-4.30670	-40.83192	-53.20950	8.93135	43.55910	-59.18489	26.77879	7.06935	-1.66645	0.42451	0.39593	0.10127	-0.09048	
43	43.00000	0.16800	77.92583	68.05407	-4.83376	-16.57213	40.22091	-18.73473	17.22521	-30.76840	1.16080	-0.61578	8.63710	-6.97192	-4.31019	-67.50826	-46.11334	2.91762	63.55341	78.92130	45.83524	8.55565	2.83866	0.42461	0.39591	0.13766	-0.22455	
44	44.00000	0.17200	78.00909	68.26665	-4.71662	-16.93579	40.81035	-18.02913	17.15167	-31.25680	1.20196	-0.60628	8.67165	-6.93527	-4.14204	-53.53207	-25.91098	4.30504	41.29192	161.85268	52.66055	15.07260	15.73649	0.42452	0.39572	0.17586	-0.24160	
45	45.00000	0.17600	77.95953	68.38457	-4.22975	-17.11149	40.93853	-17.85828	17.22416	-31.18450	1.27735	-0.47986	8.70162	-6.95551	-4.10252	-18.09417	-5.24853	-27.64151	28.23782	92.07138	36.52387	8.49247	-12.42122	0.42487	0.39478	0.18696	-0.10919	
46	46.00000	0.18000	77.78711	68.49268	-3.72587	-16.82466	40.59998	-18.11076	17.50252	-30.88700	1.27021	-0.69151	8.73412	-6.99029	-4.04571	-17.92437	4.46887	28.03542	-72.21253	-21.87652	9.85259	-0.01108	-51.55399	0.42404	0.39482	0.12010	0.10223	
47	47.00000	0.18400	78.19137	67.80532	-3.64620	-16.75226	40.20535	-19.53248	17.23145	-29.50886	1.27596	-0.88035	8.77746	-6.99745	-3.92108	4.37292	-1.63711	-1.61790	-101.77232	-63.84771	-9.95528	-2.59552	-55.23152	0.42362	0.39463	-0.00434	0.16537	
48	48.00000	0.18800	77.77309	67.67593	-1.50282	-16.28519	37.95788	-19.46563	17.25190	-29.67336	1.24928	-1.12916	8.84247	-6.96339	-4.09749	8.92901	-18.23560	-67.59554	-39.32680	-19.62227	-28.83436	-8.13784	-64.42527	0.42321	0.39436	-0.07473	0.05069	
